SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
INFRATEL,EQ,334.5,343.4,334.5,340.05,340.9,339.7,4175047,1418879416.7,16-APR-2018,24320,INE121J01017
INFY,EQ,1102,1140,1102,1133.2,1134.5,1171.45,12372542,13927236192.55,16-APR-2018,201992,INE009A01021
IOC,EQ,164.4,166.45,162.75,165,165,165.35,12701567,2089189970.3,16-APR-2018,54376,INE242A01010
IRB,EQ,271.7,274.2,262.15,263.9,263.3,272.2,3724862,996693616.05,16-APR-2018,44228,INE821I01014
ITC,EQ,260.5,264.9,260,264.45,264.35,260.75,5212182,1373910540,16-APR-2018,110574,INE154A01025
IBULHSGFIN,EQ,1383.95,1383.95,1351,1357.25,1362,1372.15,1254247,1708393140.8,17-APR-2018,38640,INE148I01020
ICICIBANK,EQ,287.6,293.25,286.8,291.75,291.9,287.6,15406113,4476404717.4,17-APR-2018,87332,INE090A01021
ICICIPRULI,EQ,393,393,381.3,383.2,383.45,389.45,585455,226122802.45,17-APR-2018,13212,INE726G01019
IDBI,EQ,72,72.3,70.8,71.05,71,72.15,10285439,735300149.9,17-APR-2018,18407,INE008A01015
IDEA,EQ,71.45,73.95,71,71.45,71.2,71.3,21341438,1541566440.25,17-APR-2018,62900,INE669E01016
IDFC,EQ,52.5,52.8,52.25,52.45,52.45,52.5,1122396,58914386.35,17-APR-2018,4142,INE043D01016
IDFCBANK,EQ,49.3,49.65,49,49.15,49.2,49.05,2904195,143023708,17-APR-2018,14755,INE092T01019
IGL,EQ,297.8,297.8,292,293.25,292.5,295.75,1540380,452649624.95,17-APR-2018,26091,INE203G01027
INDIACEM,EQ,151.45,152.8,149.35,151.75,152.1,151.15,2522723,381635483.1,17-APR-2018,15867,INE383A01012
INDIANB,EQ,318.9,323.75,316,318.95,319.65,318.9,601000,192005123.8,17-APR-2018,9345,INE562A01011
INDIGO,EQ,1463.1,1495,1459,1489,1493,1457.25,664567,981943322.15,17-APR-2018,42384,INE646L01027
INDUSINDBK,EQ,1864.65,1878.35,1855.65,1866.85,1865.45,1864.65,405779,756612156.55,17-APR-2018,13304,INE095A01012
INFIBEAM,EQ,170.7,171.3,168.25,170.5,171.3,170.75,3722694,630305620.6,17-APR-2018,81807,INE483S01020
INFRATEL,EQ,342.2,343,330.4,334,333.5,340.05,2797188,936078407.85,17-APR-2018,54325,INE121J01017
INFY,EQ,1127,1127.4,1115,1125.2,1124.65,1133.2,5198970,5831317995.9,17-APR-2018,203792,INE009A01021
IOC,EQ,165.5,167.75,164.65,167.2,167.05,165,8389084,1396257022.35,17-APR-2018,68721,INE242A01010
IRB,EQ,264,265.45,256.25,257.3,256.35,263.9,7873697,2052089788.2,17-APR-2018,63417,INE821I01014
ITC,EQ,265.4,268.4,262.7,267.6,267,264.45,13207767,3503727423.4,17-APR-2018,83815,INE154A01025
IBULHSGFIN,EQ,1365.95,1386.35,1355,1369.6,1368.25,1357.25,1479968,2027060306.95,18-APR-2018,34310,INE148I01020
ICICIBANK,EQ,293.7,294.9,289,290.05,290.1,291.75,20755245,6056657096.15,18-APR-2018,108233,INE090A01021
ICICIPRULI,EQ,385.5,392,380.2,381.9,382.05,383.2,1445512,555842309.3,18-APR-2018,15336,INE726G01019
IDBI,EQ,71.45,71.85,69.5,69.95,70.15,71.05,10837853,768029580.7,18-APR-2018,19093,INE008A01015
IDEA,EQ,72,72.45,71.3,71.5,71.5,71.45,30583733,2190972267.75,18-APR-2018,37605,INE669E01016
IDFC,EQ,52.75,54.1,52.6,53.2,53.25,52.45,5397119,288813400.75,18-APR-2018,15896,INE043D01016
IDFCBANK,EQ,49.35,50.05,49.05,49.45,49.5,49.15,5777892,286884318.75,18-APR-2018,15396,INE092T01019
IGL,EQ,292.65,294.75,290.3,293.05,293.7,293.25,1271552,371756495.6,18-APR-2018,16607,INE203G01027
INDIACEM,EQ,152.5,153.95,149.25,149.65,149.5,151.75,2133100,323599755.65,18-APR-2018,13713,INE383A01012
INDIANB,EQ,319.25,322.95,305.4,306.75,306.55,318.95,1154026,362770527.15,18-APR-2018,13664,INE562A01011
INDIGO,EQ,1494,1497.5,1464.2,1474.65,1470.8,1489,601510,889595833.75,18-APR-2018,28648,INE646L01027
INDUSINDBK,EQ,1871,1873.2,1836,1843.6,1849.7,1866.85,576214,1069108107.75,18-APR-2018,22205,INE095A01012
INFIBEAM,EQ,170.9,171.55,169,169.65,169,170.5,4418260,752155526.65,18-APR-2018,78638,INE483S01020
